function_name,start_address,end_address,size_bytes
LAB_80018810,0x80018810,0x80018820,16
FUN_80018854,0x80018854,0x80018900,172
LAB_80028074,0x80028074,0x800281C8,340
LAB_80018900,0x80018900,0x800189AC,172
LAB_80028400,0x80028400,0x800284C0,192
LAB_80028528,0x80028528,0x8002857C,84
LAB_80028620,0x80028620,0x800286A4,132
LAB_80019390,0x80019390,0x800193BC,44
LAB_80019420,0x80019420,0x80019424,4
LAB_80019774,0x80019774,0x800197D8,100
LAB_80019424,0x80019424,0x8001947C,88
LAB_80019524,0x80019524,0x80019774,592
LAB_80029684,0x80029684,0x8002968C,8
LAB_80029738,0x80029738,0x800297BC,132
FUN_80080384,0x80080384,0x800803D0,76
FUN_80080084,0x80080084,0x80080088,4
FUN_80081168,0x80081168,0x800811D0,104
LAB_80028294,0x80028294,0x800282C8,52
FUN_80027688,0x80027688,0x800276A4,28
FUN_80087954,0x80087954,0x8008796C,24
FUN_80087808,0x80087808,0x80087860,88
FUN_80087914,0x80087914,0x80087934,32
FUN_80087984,0x80087984,0x80087ABC,312
FUN_80049828,0x80049828,0x80049840,24
FUN_80041460,0x80041460,0x80041490,48
FUN_80046908,0x80046908,0x80046948,64
FUN_80046964,0x80046964,0x80046974,16
FUN_80027948,0x80027948,0x8002794C,4
FUN_80072928,0x80072928,0x8007292C,4
LAB_80020000,0x80020000,0x80020058,88
FUN_80020058,0x80020058,0x80020088,48
LAB_80020088,0x80020088,0x80020094,12
FUN_80020094,0x80020094,0x800200A4,16
LAB_80020254,0x80020254,0x80020258,4
LAB_80020210,0x80020210,0x80020224,20
LAB_80020224,0x80020224,0x80020244,32
LAB_80020258,0x80020258,0x800202FC,164
LAB_80020244,0x80020244,0x80020254,16
LAB_80020300,0x80020300,0x8002030C,12
LAB_80020350,0x80020350,0x80020374,36
LAB_80020374,0x80020374,0x8002037C,8
FUN_80020400,0x80020400,0x80020420,32
LAB_80020420,0x80020420,0x800204F0,208
LAB_80020500,0x80020500,0x8002051C,28
LAB_80020520,0x80020520,0x80020934,1044
FUN_80030278,0x80030278,0x8003028C,20
FUN_80030740,0x80030740,0x800307A0,96
LAB_80030150,0x80030150,0x80030158,8
LAB_80020934,0x80020934,0x80020968,52
LAB_80020968,0x80020968,0x80020990,40
LAB_80020990,0x80020990,0x800209BC,44
LAB_80030268,0x80030268,0x80030278,16
LAB_80030398,0x80030398,0x800303A8,16
LAB_80030408,0x80030408,0x80030430,40
LAB_80030504,0x80030504,0x80030518,20
LAB_80030690,0x80030690,0x8003070C,124
LAB_80021148,0x80021148,0x80021150,8
LAB_80021028,0x80021028,0x80021054,44
LAB_80021004,0x80021004,0x80021028,36
